"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","SolidLoss [W]"
1,0.4,0.6666666666666,3.8,0.8491236533
1,0.4,0.6666666666666,4,0.9408572336
1,0.4,0.6666666666666,4.2,1.0372951
1,0.4,0.6666666666666,4.4,1.138437253
1,0.4,0.6666666666666,4.6,1.244283691
1,0.4,0.6666666666666,4.8,1.354834416
1,0.4,0.6666666666666,5,1.470089428
1,0.4,1,0.2,0.003114628724
1,0.4,1,0.25,0.004866607382
1,0.4,1,0.3,0.00700791463
1,0.4,1,0.35,0.009538550468
1,0.4,1,0.4,0.0124585149
1,0.4,1,0.45,0.01576780792
1,0.4,1,0.5,0.01946642953
1,0.4,1,0.55,0.02355437973
1,0.4,1,0.6,0.02803165852
1,0.4,1,0.65,0.0328982659
1,0.4,1,0.7,0.03815420187
1,0.4,1,0.75,0.04379946644
1,0.4,1,0.8,0.04983405959
1,0.4,1,0.85,0.05625798133
1,0.4,1,0.9,0.06307123167
1,0.4,1,0.95,0.07027381059
1,0.4,1,1,0.07786571811
1,0.4,1,1.05,0.08584695421
1,0.4,1,1.1,0.09421751891
1,0.4,1,1.15,0.1029774122
1,0.4,1,1.2,0.1121266341
1,0.4,1,1.25,0.1216651845
1,0.4,1,1.3,0.1315930636
1,0.4,1,1.35,0.1419102713
1,0.4,1,1.4,0.1526168075
1,0.4,1,1.45,0.1637126723
1,0.4,1,1.5,0.1751978657
1,0.4,1,1.55,0.1870723878
1,0.4,1,1.6,0.1993362384
1,0.4,1,1.65,0.2119894176
1,0.4,1,1.7,0.2250319253
1,0.4,1,1.75,0.2384637617
1,0.4,1,1.8,0.2522849267
1,0.4,1,1.85,0.2664954202
1,0.4,1,1.9,0.2810952424
1,0.4,1,1.95,0.2960843931
1,0.4,1,2,0.3114628724
1,0.4,1,2.05,0.3272306804
1,0.4,1,2.1,0.3433878169
1,0.4,1,2.15,0.359934282
1,0.4,1,2.2,0.3768700756
1,0.4,1,2.25,0.3941951979
1,0.4,1,2.3,0.4119096488
1,0.4,1,2.35,0.4300134283
1,0.4,1,2.4,0.4485065363
1,0.4,1,2.45,0.4673889729
1,0.4,1,2.5,0.4866607382
1,0.4,1,2.6,0.5263722544
