"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","CoreLoss+SolidLoss [W]"
1,0.4,1,1.6,0.2292121384
1,0.4,1,1.65,0.2441810176
1,0.4,1,1.7,0.2596414253
1,0.4,1,1.75,0.2755947617
1,0.4,1,1.8,0.2920422267
1,0.4,1,1.85,0.3089852202
1,0.4,1,1.9,0.3264249424
1,0.4,1,1.95,0.3443624931
1,0.4,1,2,0.3627992724
1,0.4,1,2.05,0.3817362804
1,0.4,1,2.1,0.4011748169
1,0.4,1,2.15,0.421116082
1,0.4,1,2.2,0.4415610756
1,0.4,1,2.25,0.4625109979
1,0.4,1,2.3,0.4839669488
1,0.4,1,2.35,0.5059300283
1,0.4,1,2.4,0.5284013363
1,0.4,1,2.45,0.5513819729
1,0.4,1,2.5,0.5748729382
1,0.4,1,2.6,0.6233900544
1,0.4,1,2.8,0.72659423
1,0.4,1,3,0.838076463
1,0.4,1,3.2,0.9578989534
1,0.4,1,3.4,1.0861197013
1,0.4,1,3.6,1.222796707
1,0.4,1,3.8,1.367982969
1,0.4,1,4,1.52173349
1,0.4,1,4.2,1.684099267
1,0.4,1,4.4,1.855130303
1,0.4,1,4.6,2.034875595
1,0.4,1,4.8,2.223382145
1,0.4,1,5,2.420696953
1,0.5,0,0.2,0.004568736784
1,0.5,0,0.25,0.007158705163
1,0.5,0,0.3,0.010334254515
1,0.5,0,0.35,0.01409786284
1,0.5,0,0.4,0.01845178014
1,0.5,0,0.45,0.02339807441
1,0.5,0,0.5,0.02893866865
1,0.5,0,0.55,0.03507538087
1,0.5,0,0.6,0.04180990806
1,0.5,0,0.65,0.04914386022
1,0.5,0,0.7,0.05707878736
1,0.5,0,0.75,0.06561616947
1,0.5,0,0.8,0.07475741655
1,0.5,0,0.85,0.0845038886
1,0.5,0,0.9,0.09485690563
1,0.5,0,0.95,0.1058177276
1,0.5,0,1,0.1173876046
1,0.5,0,1.05,0.1295677166
1,0.5,0,1.1,0.1423592235
1,0.5,0,1.15,0.1557632554
1,0.5,0,1.2,0.1697809222
1,0.5,0,1.25,0.1844132541
1,0.5,0,1.3,0.1996613809
1,0.5,0,1.35,0.2155263127
1,0.5,0,1.4,0.2320089494
1,0.5,0,1.45,0.2491102912
1,0.5,0,1.5,0.2668314379
1,0.5,0,1.55,0.2851731895
1,0.5,0,1.6,0.3041365462
1,0.5,0,1.65,0.3237224078
1,0.5,0,1.7,0.3439315744
1,0.5,0,1.75,0.364765046
1,0.5,0,1.8,0.3862236225
1,0.5,0,1.85,0.408308104
1,0.5,0,1.9,0.4310194905
